Part,Amount,Price,Link
XIAO-ESP32C3,1,$11.21,temu.com/ul/kuiper/un9.html?subj=goods-un&_bg_fs=1&_p_jump_id=894&_x_vst_scene=adg&goods_id=601105343284324&sku_id=17619073443131&adg_ctx=a-fc6eca49~c-240aa62b&_x_ads_sub_channel=shopping&_p_rfs=1&_x_ns_prz_type=-1&locale_override=60~en~EGP&_x_ns_sku_id=17619073443131&_x_ns_gid=601105343284324&mrk_rec=1&_x_ads_channel=google&_x_gmc_account=5661265603&_x_login_type=Google&_x_ns_gg_lnk_type=adr&_x_ads_account=4251489964&_x_ads_set=23089249878&_x_ads_id=195105180948&_x_ads_creative_id=777910377294&_x_ns_source=g&_x_ns_gclid=CjwKCAjw857RBhAgEiwAI-1yKGajNhml3d4txTGZpIlv_ii1QbnmDoBWj4wsJQMfScUTHzDdXtHSahoCebQQAvD_BwE&_x_ns_placement=&_x_ns_match_type=&_x_ns_ad_position=&_x_ns_product_id=17619073443131&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CkAKCAjw0JnRBhAXEjAAoR0zOx4OAd_Ase1WSMmj_4mPh00HFO49gojAe9HaXPnPsMqIL5qFuO3p-9f7vPoaAoWN&_x_ns_gbraid=0AAAAAo4mICFGfLEOFkjjSf5i8zib9xMke&_x_ns_targetid=pla-2199902624081&gad_source=1&gad_campaignid=23089249878&gbraid=0AAAAAo4mICFGfLEOFkjjSf5i8zib9xMke&gclid=CjwKCAjw857RBhAgEiwAI-1yKGajNhml3d4txTGZpIlv_ii1QbnmDoBWj4wsJQMfScUTHzDdXtHSahoCebQQAvD_BwE
DM-OLED096-636,1,$2.28,https://www.temu.com/eg-en/0-96--white-yellow-blue--iic-communication-small-oled-display-module-51-microcontroller-g-601103015414360.html?_oak_mp_inf=ENiU1J2z1ogBGiA0ZjljYzA0YjRkNTY0N2RjODdiNmVkYTYyNmNkODU1YSDT5uft6jM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Falgo_framework%2FImageCm2InAlgo%2Fa416b4a8-7c10-11f0-b079-0a580aac10b1.jpg&spec_gallery_id=427897&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTE4MTM&_oak_gallery_order=939430652%2C1978167386%2C525193740%2C465455965%2C448644076&search_key=DM-OLED096-636&refer_page_el_sn=200049&_x_vst_scene=adg&_x_ads_sub_channel=shopping&_x_ns_prz_type=-1&_x_ns_sku_id=17619073443131&_x_ns_gid=601105343284324&_x_ads_channel=google&_x_gmc_account=5661265603&_x_login_type=Google&_x_ns_gg_lnk_type=adr&_x_ads_account=4251489964&_x_ads_set=23089249878&_x_ads_id=195105180948&_x_ads_creative_id=777910377294&_x_ns_source=g&_x_ns_gclid=CjwKCAjw857RBhAgEiwAI-1yKGajNhml3d4txTGZpIlv_ii1QbnmDoBWj4wsJQMfScUTHzDdXtHSahoCebQQAvD_BwE&_x_ns_placement=&_x_ns_match_type=&_x_ns_ad_position=&_x_ns_product_id=17619073443131&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CkAKCAjw0JnRBhAXEjAAoR0zOx4OAd_Ase1WSMmj_4mPh00HFO49gojAe9HaXPnPsMqIL5qFuO3p-9f7vPoaAoWN&_x_ns_gbraid=0AAAAAo4mICFGfLEOFkjjSf5i8zib9xMke&_x_ns_targetid=pla-2199902624081&_x_sessn_id=rdwiz1tjc7&refer_page_name=search_result&refer_page_id=10009_1781031106687_ldr2im6otj
TTP223B-Touch-Sensor,1,$0.5,https://www.temu.com/eg-en/30pcs-ttp223-capacitive-touch-switch-button-sensor-module-self-locking-ttp223-for--g-601099690184084.html?_oak_mp_inf=EJSbiOym1ogBGiBlOGJkNzQzMzBiZTA0OTY3OTc5ZmNjYjQ2OTMyZDg5MyD01evt6jM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F67e0e128-66d4-446a-980a-4fb0e7bbd0d9.jpg&spec_gallery_id=13993&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTUwODM&_oak_gallery_order=517373057%2C1151831422%2C1542564713%2C1570670798%2C403175459&search_key=TTP223B-Touch-Sensor&refer_page_el_sn=200049&_x_vst_scene=adg&_x_ads_sub_channel=shopping&_x_ns_prz_type=-1&_x_ns_sku_id=17619073443131&_x_ns_gid=601105343284324&_x_ads_channel=google&_x_gmc_account=5661265603&_x_login_type=Google&_x_ns_gg_lnk_type=adr&_x_ads_account=4251489964&_x_ads_set=23089249878&_x_ads_id=195105180948&_x_ads_creative_id=777910377294&_x_ns_source=g&_x_ns_gclid=CjwKCAjw857RBhAgEiwAI-1yKGajNhml3d4txTGZpIlv_ii1QbnmDoBWj4wsJQMfScUTHzDdXtHSahoCebQQAvD_BwE&_x_ns_placement=&_x_ns_match_type=&_x_ns_ad_position=&_x_ns_product_id=17619073443131&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CkAKCAjw0JnRBhAXEjAAoR0zOx4OAd_Ase1WSMmj_4mPh00HFO49gojAe9HaXPnPsMqIL5qFuO3p-9f7vPoaAoWN&_x_ns_gbraid=0AAAAAo4mICFGfLEOFkjjSf5i8zib9xMke&_x_ns_targetid=pla-2199902624081&_x_sessn_id=rdwiz1tjc7&refer_page_name=search_result&refer_page_id=10009_1781031172505_0wzgq9k3vw&is_back=1&no_cache_id=evmtd
RGP-LED,1,$0.1,https://www.temu.com/eg-en/30pcs-5mm-rgb-led--through-hole-4-pin-transparent-suitable-for-circuit-design-and-diy-projects-compatible-with-automotive-series-and-other-applications-electronic-projects-diy-electronics-compact--transparent-leds-reliable-construction--led-components-electronic--electronics-hobbyists-makers-g-601102933507164.html?_oak_mp_inf=ENz4zPay1ogBGiBiOTBkNjAwM2JhMTc0NDY3OTRmMWUwOGM4ZGQyY2M0NCC29fTt6jM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F838add1b-92c8-4d79-89df-b4c4e98db34a.jpg&spec_gallery_id=601102933507164&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTA0MzA&_oak_gallery_order=335418607%2C93596745%2C960936072%2C1528636450%2C1852426370&search_key=rgb%20led&refer_page_el_sn=200049&refer_page_name=search_result&refer_page_id=10009_1781031315195_gvat1mqbqx&_x_sessn_id=rdwiz1tjc7
buzzer,1,$0.1,https://www.temu.com/eg-en/10pcs-5v-passive-buzzer-g-606475434974728.html?_oak_mp_inf=EIi894bh8okBGiA5MTdjNjU2Y2Y1NDc0MjAyODU3YTg0YWNlM2E3YjI2ZSDgyIDu6jM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F601cfa63-2510-44c2-b2a6-c430afab619e.jpg&spec_gallery_id=36771627254&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NzAxNA&_oak_gallery_order=1198511780%2C1937483499%2C1650304743%2C213833093%2C479647440&search_key=buzzer&refer_page_el_sn=200049&_x_sessn_id=rdwiz1tjc7&refer_page_name=search_result&refer_page_id=10009_1781031511671_g47c5o6aln
Push-buttons,3,$0.1,https://www.temu.com/eg-en/10pcs-6x6x5mm--tactile-tact-push-button-micro-switch-mini-micro-momentary-tactile-push-button-switch--x-5mm-g-605681855863393.html?_oak_mp_inf=EOG09t7U24kBGiBhODYzM2I4YWQxYjM0OTU3ODc5ZWNjZDFkNDU2YTQ1ZSCXoZju6jM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F32515510-ff63-414c-8cde-86786173efb5.jpg&spec_gallery_id=41314165265&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NTU5MA&_oak_gallery_order=898508561%2C548097648%2C1908010778%2C1655145408%2C1223098804&search_key=push%20button&refer_page_el_sn=200049&_x_vst_scene=adg&_x_ads_channel=google&_x_ads_sub_channel=search&_x_ads_account=4448219309&_x_ads_set=23072832667&_x_ads_id=186652370296&_x_ads_creative_id=776588224979&_x_ns_source=g&_x_ns_gclid=CjwKCAjw857RBhAgEiwAI-1yKI9HUsAyoEHwMRL6cBr8HyHkNjGgE5-fAYHWUYws_l3AswJ2IMZslhoCuCMQAvD_BwE&_x_ns_placement=&_x_ns_match_type=p&_x_ns_ad_position=&_x_ns_product_id=&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CkAKCAjw0JnRBhAXEjAAoR0zO9TqHcKmMz42k6FW3z0UHtDVtueaK9KlUAsFsHTF6aPbQyyL_4JndZacY80aAjHJ&_x_ns_gbraid=0AAAAAo4mICHhTGd1qpbDu7WQj-eEuQBK2&_x_ns_keyword=temu&_x_ns_targetid=kwd-368867843197&_x_ns_extensionid=&_x_sessn_id=rdwiz1tjc7&refer_page_name=search_result&refer_page_id=10009_1781031901203_rcl2gx49i9
LIPO-Battery,1,$1.1,https://makerselectronics.com/product/rechargeable-400925-lipo-battery/
Resistor-330ohm,3,$0.01,https://www.temu.com/eg-en/30-film-resistor-330r-470r-680r-1-4w-0-25w-1-tolerance-fixed-value-resistor-low-voltage-durable-electronic-component-suitable-for-circuit-building-electronics-automotive-and-hobbyists-precision-resistor-resistor-series-g-601103922039367.html?_oak_mp_inf=EMeU%2FM221ogBGiBiYzg3OGNlMmQ0ZWY0NGY1OTM1NjkyNjViZmE0YjI0NSCh17Xu6jM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Fe36b36ad-a9a9-42a9-912c-adf4d707e603.jpg&spec_gallery_id=22434126380&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=ODEwNA&_oak_gallery_order=388183629%2C774266642%2C1971393190%2C1850372233%2C237167191&search_key=resistors%20330%20Ohm&refer_page_el_sn=200049&_x_vst_scene=adg&_x_ads_sub_channel=shopping&_x_ns_prz_type=-1&_x_ns_sku_id=17619073443131&_x_ns_gid=601105343284324&_x_ads_channel=google&_x_gmc_account=5661265603&_x_login_type=Google&_x_ns_gg_lnk_type=adr&_x_ads_account=4251489964&_x_ads_set=23089249878&_x_ads_id=195105180948&_x_ads_creative_id=777910377294&_x_ns_source=g&_x_ns_gclid=CjwKCAjw857RBhAgEiwAI-1yKGajNhml3d4txTGZpIlv_ii1QbnmDoBWj4wsJQMfScUTHzDdXtHSahoCebQQAvD_BwE&_x_ns_placement=&_x_ns_match_type=&_x_ns_ad_position=&_x_ns_product_id=17619073443131&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CkAKCAjw0JnRBhAXEjAAoR0zOx4OAd_Ase1WSMmj_4mPh00HFO49gojAe9HaXPnPsMqIL5qFuO3p-9f7vPoaAoWN&_x_ns_gbraid=0AAAAAo4mICFGfLEOFkjjSf5i8zib9xMke&_x_ns_targetid=pla-2199902624081&_x_sessn_id=rdwiz1tjc7&refer_page_name=search_result&refer_page_id=10009_1781032381582_ahrw14axci 
Screws,4,$1,https://www.amazon.eg/-/en/ZAVETA-100pcs-Stainless-Length-14-35mm/dp/B0BG4J8MGN/ref=pd_sbs_d_sccl_1_5/258-7676370-3906456?pd_rd_w=OGGM0&content-id=amzn1.sym.9dae1e62-b512-48cd-85fa-47787caab40c&pf_rd_p=9dae1e62-b512-48cd-85fa-47787caab40c&pf_rd_r=Y62HXEMZENEQ0EJMSG34&pd_rd_wg=buzgR&pd_rd_r=8593e3f2-a437-4063-bd70-100a7fa7afcf&pd_rd_i=B0BG4J8MGN&psc=1
Total,,16.4$ (shipping not included),
